Wed Oct 16 11:18:33 2024

<base> : Rectangle : 0m, 0m, 0m; 1um, 50nm, 5nm. Cells : 200, 10, 1. Cellsize : 5nm, 5nm, 5nm
<supermesh> : Rectangle : 0m, 0m, 0m; 1um, 50nm, 5nm. Cells : 200, 10, 1. Cellsize : 5nm, 5nm, 5nm

Saved data (dataname (unit) <meshname> (cells_rectangle)) : 

time (s)	<mxdmdt> (1/s) <base> (200nm, 0m, 0m; 210nm, 50nm, 5nm)			<mxdmdt> (1/s) <base> (400nm, 0m, 0m; 410nm, 50nm, 5nm)			<mxdmdt> (1/s) <base> (600nm, 0m, 0m; 610nm, 50nm, 5nm)			<mxdmdt> (1/s) <base> (800nm, 0m, 0m; 810nm, 50nm, 5nm)			

0	145402	773245	-98602.4	-157629	-1.16784e+06	-150256	-3898.34	-190198	-113606	52378.3	139844	1.07705e+06
5e-12	4.29987e+10	1.21505e+11	2.879e+11	-6.22591e+10	-2.39186e+11	-1.1817e+11	-3.56613e+08	-1.79641e+11	-4.51119e+11	-1.69368e+09	-2.711e+10	1.00762e+11
1e-11	1.04603e+11	5.38393e+11	-2.36228e+11	-7.79929e+09	-2.67032e+11	1.32785e+11	-6.89743e+09	1.17157e+11	2.29705e+10	3.91114e+09	-1.05626e+11	-1.0893e+11
1.5e-11	8.86169e+10	5.23848e+11	-1.49453e+11	1.53381e+11	-5.94746e+11	-3.21644e+11	-2.8461e+10	2.02241e+10	-2.59506e+11	-3.94776e+10	2.18369e+11	1.60948e+11
2e-11	4.62974e+10	2.39143e+11	-1.97715e+11	3.76618e+10	-2.29289e+11	-1.43136e+11	2.98485e+10	-6.57364e+10	3.76522e+11	1.9559e+09	8.03011e+10	-2.76057e+11
2.5e-11	7.06431e+10	2.52195e+11	3.68297e+09	6.33349e+10	-2.46479e+11	-1.45858e+11	4.32334e+09	-3.14026e+11	1.17871e+11	-1.37807e+09	-9.59642e+10	2.78801e+10
3e-11	-4.21876e+10	-1.84443e+11	3.18775e+11	1.44505e+10	-1.41084e+10	-8.05617e+10	5.14351e+10	-2.69632e+11	2.53311e+11	1.34052e+09	-2.00017e+10	-2.16491e+11
3.5e-11	9.69863e+10	3.01547e+11	1.00863e+11	6.99389e+10	-1.68652e+11	-2.35186e+11	1.65334e+10	-1.08433e+11	9.94931e+10	1.84409e+10	2.88224e+11	-1.13252e+11
4e-11	1.41813e+11	3.60613e+11	2.86637e+11	2.32169e+10	-3.58549e+10	-1.69463e+11	1.72178e+09	1.12734e+11	6.09238e+10	2.72823e+10	1.92701e+11	-1.3149e+11
4.5e-11	1.0951e+11	2.82563e+11	2.01596e+11	6.71208e+10	2.29692e+11	-3.0213e+11	5.45899e+10	-1.39479e+11	3.10935e+11	3.84052e+10	-6.96367e+10	-4.62022e+11
5e-11	2.17665e+11	-2.18994e+11	5.74365e+11	1.4563e+11	2.96726e+11	-4.34206e+11	2.99666e+10	-6.16662e+10	1.15465e+11	-1.88677e+09	4.83812e+10	-5.25874e+10
5.5e-11	2.41376e+11	-2.32929e+11	5.39308e+11	1.25778e+11	3.63037e+11	-3.10802e+11	1.00288e+11	-2.6239e+11	8.08598e+10	-3.90549e+09	-5.97082e+08	-8.41157e+10
6e-11	2.0103e+11	-2.91814e+11	2.97915e+11	1.04396e+11	2.84971e+11	5.57436e+10	1.89909e+11	-5.07824e+11	1.37865e+11	8.46279e+10	3.66464e+11	1.60243e+11
